"commentAuthor","month","nocomm"
"dev85","2001-10",4
"dev40","2000-05",1
"dev67","2000-10",2
"dev37","2002-02",1
"dev40","2000-08",1
"dev37","2000-12",4
"dev85","2002-04",2
"dev40","2002-06",3
"dev40","2000-06",1
"dev85","2001-07",3
"dev40","2001-12",2
"dev85","2000-04",1
"dev54","2000-11",1
"dev40","2000-10",1
"dev85","2000-07",2
"dev37","2002-03",1
"dev67","2002-06",1
"dev54","2001-08",1
"dev67","2001-05",1
"dev37","2001-01",2
"dev39","2010-09",1
"dev54","2010-11",6
"dev91","2012-03",2
