"name","month","opened","responses","activities"
"dev37","2009-05",0,6,6
"dev54","2009-06",0,2,2
"dev2","2009-06",0,11,11
"dev91","2009-06",1,1,2
"dev2","2009-07",3,30,33
"dev91","2009-07",1,8,9
"dev54","2009-07",0,2,2
"dev38","2009-08",0,20,20
"dev2","2009-08",1,29,30
"dev2","2009-09",0,21,21
"dev2","2009-10",0,43,43
"dev2","2009-11",0,9,9
"dev38","2009-12",0,13,13
"dev2","2009-12",0,26,26
"dev2","2010-01",2,21,23
"dev38","2010-01",0,8,8
"dev2","2010-02",1,19,20
"dev2","2010-03",0,9,9
"dev2","2010-04",1,29,30
"dev38","2010-04",0,4,4
"dev2","2010-05",0,25,25
"dev38","2010-05",0,14,14
"dev2","2010-06",0,61,61
"dev38","2010-06",0,7,7
"dev2","2010-07",1,11,12
"dev38","2010-07",0,8,8
"dev86","2010-07",1,1,2
"dev2","2010-08",0,1,1
"dev38","2010-08",0,3,3
"dev2","2010-09",1,18,19
"dev39","2010-09",0,1,1
"dev38","2010-09",0,1,1
"dev38","2010-10",0,3,3
"dev2","2010-10",0,9,9
"dev2","2010-11",0,8,8
"dev54","2010-11",0,7,7
"dev2","2011-01",0,22,22
"dev2","2011-02",0,20,20
"dev38","2011-02",0,1,1
"dev2","2011-04",0,26,26
"dev38","2011-05",0,2,2
"dev91","2011-05",0,2,2
"dev2","2011-05",0,10,10
"dev2","2011-06",1,13,14
"dev38","2011-06",0,2,2
"dev91","2011-06",1,8,9
"dev2","2011-07",1,57,58
"dev39","2011-07",8,195,203
"dev39","2011-08",10,394,404
"dev2","2011-08",0,32,32
"dev39","2011-09",11,197,208
"dev2","2011-09",0,30,30
"dev2","2011-10",0,24,24
"dev39","2011-10",11,180,191
"dev39","2011-11",0,45,45
"dev2","2011-11",0,9,9
"dev54","2011-12",0,1,1
"dev39","2012-01",10,82,92
"dev2","2012-01",1,24,25
"dev2","2012-02",0,43,43
"dev39","2012-02",16,134,150
"dev2","2012-03",3,27,30
"dev39","2012-03",16,60,76
"dev39","2012-04",8,185,193
"dev2","2012-04",1,21,22
"dev2","2012-05",1,5,6
"dev39","2012-05",3,87,90
"dev39","2012-06",1,51,52
"dev37","2012-06",0,2,2
"dev2","2012-06",2,26,28
"dev39","2012-07",0,33,33
"dev2","2012-08",1,26,27
"dev39","2012-08",1,87,88
"dev2","2012-09",0,12,12
"dev37","2012-09",2,0,2
"dev37","2012-10",1,3,4
"dev39","2012-10",3,44,47
"dev2","2012-10",0,4,4
"dev54","2012-11",0,2,2
"dev2","2012-11",1,12,13
"dev39","2012-11",3,32,35
"dev39","2012-12",1,20,21
"dev2","2012-12",2,11,13
"dev54","2012-12",0,1,1
"dev2","2013-01",1,12,13
"dev39","2013-01",0,22,22
"dev54","2013-01",0,1,1
"dev2","2013-02",2,24,26
"dev91","2013-02",0,2,2
"dev39","2013-02",0,13,13
"dev2","2013-03",1,11,12
"dev91","2013-04",0,1,1
"dev2","2013-04",0,17,17
"dev2","2013-05",0,23,23
"dev2","2013-07",0,3,3
"dev2","2013-08",0,33,33
"dev2","2013-09",0,20,20
"dev2","2013-10",0,10,10
"dev2","2013-11",0,8,8
"dev91","2013-11",1,1,2
"dev2","2013-12",0,5,5
"dev2","2014-01",1,25,26
"dev2","2014-02",3,89,92
"dev39","2014-02",0,5,5
"dev2","2014-04",0,16,16
"dev2","2014-06",0,2,2
"dev2","2014-07",0,6,6
"dev2","2014-08",0,2,2
"dev2","2014-09",1,22,23
"dev2","2014-10",0,16,16
"dev67","2014-10",0,4,4
"dev54","2014-12",1,1,2
"dev2","2015-01",0,6,6
"dev54","2015-01",0,2,2
"dev2","2015-03",0,11,11
"dev2","2015-05",0,4,4
"dev2","2015-06",0,3,3
"dev2","2015-07",0,10,10
"dev2","2006-12",0,2,2
"dev2","2011-12",0,2,2
"dev39","2011-12",0,29,29
"dev38","2011-03",0,1,1
"dev38","2011-04",0,1,1
"dev39","2012-09",1,51,52
"dev91","2012-03",0,2,2
"dev91","2009-02",3,0,3
