"name","month","opened","responses","activities"
"dev9","2015-02",0,1,1
"dev9","2011-08",0,1,1
"dev74","2004-06",0,1,1
"dev77","2013-08",0,1,1
"dev77","2012-09",0,1,1
"dev77","2012-01",0,1,1
"dev77","2011-07",0,1,1
"dev77","2013-07",1,0,1
"dev77","2013-04",0,1,1
"dev77","2011-11",0,1,1
"dev74","2004-11",0,1,1
"dev74","2004-10",1,0,1
"dev9","2011-01",0,1,1
"dev77","2005-10",0,1,1
"dev77","2005-11",0,4,4
"dev77","2006-01",0,1,1
"dev77","2006-02",0,2,2
"dev77","2006-03",0,2,2
"dev77","2006-04",0,4,4
"dev77","2006-05",0,2,2
"dev77","2006-06",0,4,4
"dev77","2006-07",0,3,3
"dev77","2006-08",0,10,10
"dev77","2006-09",0,10,10
"dev77","2006-10",0,40,40
"dev77","2006-11",0,18,18
"dev77","2006-12",0,25,25
"dev77","2007-01",0,28,28
"dev77","2007-02",0,10,10
"dev77","2007-03",0,6,6
"dev77","2007-04",0,4,4
"dev77","2007-05",0,6,6
"dev77","2007-06",0,19,19
"dev77","2007-07",0,14,14
"dev77","2007-08",0,22,22
"dev77","2007-09",0,22,22
"dev77","2007-10",0,19,19
"dev77","2007-11",0,6,6
"dev77","2007-12",0,6,6
"dev77","2008-01",0,8,8
"dev77","2008-02",0,9,9
"dev77","2008-04",0,7,7
"dev77","2008-05",0,9,9
"dev77","2008-06",0,4,4
"dev77","2008-08",0,2,2
"dev77","2008-09",0,2,2
"dev77","2008-10",0,2,2
"dev77","2008-11",0,3,3
"dev77","2008-12",0,4,4
"dev77","2009-01",0,1,1
"dev77","2009-02",0,1,1
"dev77","2009-03",0,3,3
"dev77","2009-04",0,4,4
"dev77","2009-06",0,2,2
"dev77","2009-09",0,1,1
"dev77","2009-11",0,2,2
"dev77","2010-01",0,1,1
"dev77","2010-03",0,2,2
"dev48","2006-01",1,0,1
"dev50","2012-07",0,1,1
"dev77","2010-04",0,2,2
"dev8","2001-12",0,1,1
"dev72","2002-10",0,1,1
"dev8","2001-09",1,0,1
"dev8","2001-10",1,0,1
