"commentAuthor","month","nocomm"
"dev83","2010-11",2
"dev83","2010-12",8
"dev82","2011-03",1
"dev35","2010-09",22
"dev52","2010-12",3
"dev81","2011-04",10
"dev13","2011-06",1
"dev52","2010-09",8
"dev35","2010-11",8
"dev82","2011-02",1
"dev13","2011-02",4
"dev51","2009-12",2
"dev52","2010-02",2
"dev51","2011-02",2
"dev82","2011-01",1
"dev13","2010-11",1
"dev52","2010-05",3
"dev84","2010-06",5
"dev83","2010-07",3
"dev53","2010-08",2
"dev82","2009-10",9
"dev81","2010-06",1
"dev83","2010-05",8
"dev81","2010-03",5
"dev51","2009-06",3
"dev51","2010-04",8
"dev51","2009-08",2
"dev51","2009-11",1
"dev52","2010-03",5
"dev12","2010-01",7
"dev81","2010-02",4
"dev12","2009-12",3
"dev51","2010-02",2
"dev81","2009-12",1
"dev81","2009-08",5
"dev12","2009-08",1
"dev12","2009-09",1
"dev51","2009-07",5
