"commentAuthor","month","nocomm"
"dev31","2005-06",16
"dev24","2011-06",2
"dev27","2011-03",15
"dev62","2011-04",3
"dev62","2012-01",1
"dev4","2010-12",2
"dev59","2011-08",1
"dev27","2011-01",12
"dev62","2010-11",1
"dev4","2010-06",4
"dev61","2011-03",2
"dev20","2009-07",3
"dev21","2010-01",16
"dev27","2010-12",29
"dev59","2010-12",5
"dev29","2010-10",3
"dev27","2010-11",8
"dev29","2010-11",1
"dev27","2009-09",32
"dev24","2010-03",12
"dev4","2010-07",2
"dev28","2009-12",1
"dev33","2009-11",5
"dev33","2009-12",11
"dev23","2010-06",1
"dev33","2010-06",1
"dev59","2010-03",7
"dev60","2010-02",13
"dev62","2008-01",11
"dev59","2009-11",6
"dev29","2010-04",1
"dev33","2010-04",9
"dev20","2004-11",36
"dev20","2008-03",26
"dev24","2010-04",1
"dev56","2009-09",7
"dev27","2009-12",14
"dev26","2009-10",1
"dev26","2010-02",6
"dev33","2010-09",1
"dev33","2010-08",1
"dev24","2012-03",1
"dev21","2009-10",5
"dev20","2007-08",16
"dev27","2010-04",7
"dev56","2009-12",2
"dev26","2007-02",8
"dev24","2007-02",3
"dev26","2006-06",10
"dev61","2007-05",3
"dev23","2007-05",1
"dev56","2008-08",11
"dev22","2007-01",3
"dev26","2006-01",15
"dev32","2005-09",1
"dev22","2007-09",28
"dev26","2006-03",51
"dev26","2006-04",49
"dev26","2006-05",46
"dev26","2005-12",21
"dev20","2005-11",85
"dev4","2004-12",130
"dev30","2006-01",86
"dev22","2006-03",1
"dev22","2006-04",2
"dev27","2010-01",12
"dev27","2010-02",32
"dev60","2010-01",7
"dev56","2009-05",5
"dev4","2007-12",8
"dev26","2007-12",1
"dev20","2006-07",87
"dev26","2007-11",3
"dev28","2005-10",2
"dev29","2005-09",1
"dev26","2010-04",2
"dev56","2009-11",1
"dev56","2009-06",3
"dev56","2009-04",3
"dev27","2009-01",22
"dev56","2008-09",9
"dev60","2009-11",2
"dev59","2010-09",1
"dev59","2010-06",2
"dev59","2009-12",9
"dev59","2009-04",7
"dev60","2010-06",3
"dev60","2010-03",1
"dev24","2011-07",5
"dev4","2005-02",120
"dev25","2005-02",171
"dev20","2005-10",132
"dev29","2011-01",1
"dev27","2010-09",9
"dev60","2009-02",10
"dev59","2009-02",10
"dev58","2010-02",1
"dev58","2010-04",1
"dev58","2010-08",1
"dev27","2010-05",3
"dev33","2010-01",4
"dev21","2009-04",2
"dev33","2010-02",2
"dev33","2010-03",1
"dev28","2010-02",1
"dev29","2009-10",10
"dev59","2009-09",11
"dev21","2009-07",11
"dev21","2009-02",7
"dev21","2009-11",8
"dev27","2009-07",11
"dev25","2004-11",24
"dev58","2006-02",33
"dev4","2006-01",70
"dev22","2008-07",2
"dev30","2005-09",120
"dev33","2009-08",5
"dev31","2007-07",4
"dev21","2009-06",8
"dev20","2005-12",68
"dev31","2006-04",26
"dev30","2006-04",94
"dev21","2008-09",3
"dev21","2009-01",3
"dev58","2005-12",2
"dev25","2004-04",23
"dev58","2005-05",6
"dev4","2005-10",135
"dev20","2005-06",34
"dev4","2005-06",43
"dev59","2007-09",11
"dev23","2007-07",1
"dev65","2006-07",1
"dev58","2005-10",8
"dev58","2005-09",5
"dev58","2006-05",8
"dev21","2010-08",1
"dev21","2009-05",3
"dev59","2012-01",1
"dev29","2009-07",4
"dev29","2009-11",5
"dev56","2010-01",1
"dev23","2008-11",1
"dev33","2012-02",1
"dev4","2008-04",18
"dev27","2011-10",2
"dev27","2010-08",4
"dev56","2009-08",2
"dev62","2009-08",1
"dev30","2005-07",53
"dev27","2009-05",20
"dev27","2009-03",8
"dev27","2009-02",8
"dev31","2008-09",2
"dev22","2007-05",13
"dev62","2008-04",1
"dev23","2007-11",3
"dev23","2007-10",2
"dev4","2005-09",130
"dev31","2006-01",43
"dev24","2006-09",4
"dev31","2006-05",21
"dev65","2006-06",3
"dev20","2005-08",52
"dev27","2005-09",2
"dev27","2006-02",9
"dev30","2005-10",70
"dev30","2005-12",50
"dev20","2006-01",15
"dev58","2006-03",7
"dev27","2006-04",8
"dev58","2006-04",10
"dev22","2005-10",9
"dev27","2011-09",1
"dev27","2011-05",5
"dev27","2011-04",4
"dev27","2008-08",9
"dev27","2008-11",5
"dev27","2008-12",6
"dev27","2009-06",1
"dev27","2008-06",3
"dev59","2008-01",8
"dev59","2008-05",4
"dev27","2008-03",6
"dev27","2006-10",6
"dev27","2006-06",4
"dev27","2007-09",6
"dev27","2006-09",2
"dev31","2006-06",13
"dev27","2006-07",3
"dev27","2006-05",2
"dev61","2009-05",1
"dev59","2008-07",5
"dev31","2007-11",4
"dev21","2006-12",2
"dev61","2009-04",1
"dev60","2008-08",6
"dev21","2008-03",10
"dev31","2007-03",2
"dev61","2007-01",5
"dev31","2007-01",3
"dev21","2006-11",4
"dev21","2007-01",1
"dev61","2012-04",3
"dev62","2011-05",1
"dev21","2010-11",1
"dev62","2011-02",2
"dev31","2010-09",1
"dev21","2008-04",1
"dev33","2009-01",7
"dev61","2012-01",1
"dev31","2008-12",1
"dev31","2009-01",2
"dev31","2009-02",18
"dev31","2009-03",3
"dev31","2009-08",1
"dev21","2008-05",2
"dev20","2008-01",6
"dev28","2007-05",2
"dev62","2006-08",2
"dev4","2005-05",37
"dev4","2005-08",31
"dev66","2005-04",1
"dev4","2005-12",86
"dev65","2006-03",7
"dev58","2006-06",2
"dev29","2005-08",5
"dev33","2011-05",1
"dev33","2011-04",1
"dev22","2008-04",1
"dev62","2008-05",6
"dev56","2009-02",1
"dev21","2007-11",1
"dev60","2009-01",2
"dev31","2005-05",27
"dev30","2005-03",56
"dev31","2005-04",46
"dev4","2009-07",9
